username,display_name,platform,niche,sub_niche,followers,avg_views,engagement_rate,avg_likes,avg_comments,past_brands,content_style,posting_frequency,audience_age_group,audience_gender_split,country,commission_rate,avg_order_value,conversion_rate,tiktok_shop_enabled,bio_summary
@glowwithrae,Rae Kim,tiktok,beauty,skincare,487000,312000,9.2,28700,4100,"CeraVe,The Ordinary,Tatcha,Summer Fridays",tutorial,daily,18-24,78F/22M,US,12,42.50,3.8,yes,"Korean-American skincare educator who breaks down ingredient science into 60-second tutorials. Known for her 'no BS ingredient check' series where she analyzes product labels live. Has converted her audience into a highly engaged community that trusts her product recommendations deeply."
@fitjake_,Jake Morrison,instagram,fitness,weightlifting,312000,89000,6.8,21200,1890,"Gymshark,MyProtein,Transparent Labs,Barbell Apparel",educational,daily,18-34,65M/35F,US,10,67.00,4.2,no,"Certified personal trainer who posts daily workout splits and form correction videos. His 12-week transformation challenges have helped thousands of followers hit their fitness goals. Strong affiliate performer with gym equipment and supplement brands."
@cookingwithleila,Leila Hassan,youtube,food,recipe,892000,445000,7.1,31600,5200,"HelloFresh,Le Creuset,KitchenAid,Whole Foods",long-form,3x-week,25-44,72F/28M,UK,8,85.00,2.9,no,"British-Lebanese chef creating fusion recipes that blend Middle Eastern flavors with everyday weeknight meals. Her 'One Pot Wonders' series has over 50M views. Audience is primarily home cooks looking for elevated but accessible dinner ideas."
@techbymarcus,Marcus Chen,youtube,tech,gadgets,1240000,620000,5.4,33500,8900,"Samsung,Anker,dbrand,Moment",review,2x-week,18-34,81M/19F,US,7,125.00,3.1,no,"Tech reviewer known for brutally honest gadget reviews and detailed teardowns. His 'Worth It or Worthless' series drives significant purchase decisions. Audience trusts his recommendations because he regularly calls out overpriced products."
@styledbynina,Nina Petrova,instagram,fashion,streetwear,567000,178000,8.9,50400,4200,"Nike,Zara,ASOS,Urban Outfitters,Depop",aesthetic,daily,18-24,83F/17M,UK,11,58.00,5.1,yes,"London-based fashion creator mixing high-street with vintage finds. Her signature style is oversized silhouettes and layered looks. Runs a popular Depop shop and her 'style on a budget' content consistently outperforms everything else she posts."
@organicmama_jo,Joanna Rivera,tiktok,food,meal-prep,345000,198000,11.3,22400,3800,"Thrive Market,Vitamix,Stasher,Dr. Bronner's",educational,daily,25-34,89F/11M,US,9,52.00,4.5,yes,"Busy mom of three who creates weekly organic meal prep content on a real budget. Her 'Feed a Family of 5 for $75' series went viral. Audience is millennial parents looking for healthy shortcuts. Extremely high trust factor with her community."
@devlife_ali,Ali Reza,youtube,tech,software,438000,219000,6.2,13600,3100,"JetBrains,DigitalOcean,Brilliant,Notion",tutorial,2x-week,18-34,76M/24F,US,8,45.00,2.8,no,"Self-taught software engineer who documents his journey building SaaS products. His coding tutorials focus on practical projects rather than theory. Known for his 'Build in Public' series where he live-codes full applications from scratch."
@pilateswithsoph,Sophie Laurent,instagram,fitness,pilates,289000,124000,10.5,30300,2700,"Alo Yoga,Lululemon,Bala,Manduka",aesthetic,daily,25-34,92F/8M,US,13,78.00,5.8,yes,"Certified Pilates instructor who makes reformer and mat workouts accessible for beginners. Her calming aesthetic and detailed form cues have built a devoted following. Sells her own workout guide and has extremely high conversion rates on athleisure recommendations."
@thriftwithkay,Kayla Thompson,tiktok,fashion,thrifting,623000,402000,12.1,48600,7200,"ThredUp,Poshmark,Goodwill,Patagonia Worn Wear",haul,daily,18-24,88F/12M,US,10,35.00,6.2,yes,"Thrift queen who turns $5 Goodwill finds into Pinterest-worthy outfits. Her 'Thrift Flip' transformation videos regularly hit 1M+ views. Audience is Gen Z women who care about sustainable fashion and want to look stylish on a student budget."
@chefmikenyc,Mike Dominguez,tiktok,food,restaurant,215000,156000,8.7,18700,2100,"OpenTable,Uber Eats,American Express Dining,Resy",vlog,5x-week,25-44,55M/45F,US,6,95.00,2.3,no,"NYC food critic and home cook who reviews hidden gem restaurants and recreates their signature dishes at home. His 'Cheaper at Home' series compares restaurant dishes with homemade versions. Audience is urban foodies who love discovering new spots."
